Player,Nation,Pos,Squad,Comp,Age,MP,Min,TklW,Int,Clr,Blocks,Carries,PrgDist,FinalThird,Ast,KP,CrsPA
Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,25-203,35,2301,26,17,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,20-000,3,164,4,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20-121,22,681,3,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Himad Abdelli,dz ALG,MF,Marseille,fr Ligue 1,26-177,8,138,1,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26-177,13,943,17,13,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32-144,21,1097,10,10,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,26-048,18,911,7,11,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26-299,24,1307,22,9,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Tay Abed,il ISR,MF,Levante,es La Liga,22-066,6,48,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33-101,27,2253,23,28,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,23-046,32,2494,13,9,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25-351,25,2060,21,8,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,26-084,15,511,12,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Abdel Abqar,ma MAR,DF,Getafe,es La Liga,27-064,21,1328,16,20,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
