Player,Nation,Pos,Squad,Comp,Age,MP,Min,TklW,Int,Clr,Blocks,Carries,PrgDist,FinalThird,Ast,KP,CrsPA
Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,20-000,3,164,4,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32-144,21,1097,10,10,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25-351,25,2060,21,8,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Abdel Abqar,ma MAR,DF,Getafe,es La Liga,27-064,21,1328,16,20,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Mathieu Acapandié,mg MAD,"MF,DF",Nantes,fr Ligue 1,21-150,6,261,1,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Francesco Acerbi,it ITA,DF,Inter,it Serie A,38-092,17,1288,9,18,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,20-008,15,587,7,11,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28-231,16,795,6,9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,23-265,14,763,7,6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jonas Adjetey,gh GHA,DF,Wolfsburg,de Bundesliga,22-151,4,137,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
David Affengruber,at AUT,DF,Elche,es La Liga,25-055,34,2769,46,47,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28-330,14,1101,21,14,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Felix Agu,ng NGA,"DF,MF",Werder Bremen,de Bundesliga,26-228,11,744,14,11,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Diego Aguado,es ESP,DF,Real Madrid,es La Liga,19-095,1,30,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,30-044,16,1396,16,21,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nayef Aguerd,ma MAR,DF,West Ham United,eng Premier League,30-044,2,180,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Honest Ahanor,it ITA,DF,Atalanta,it Serie A,18-079,20,1197,17,21,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,31-103,17,988,28,15,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,30-226,8,639,3,10,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ola Aina,ng NGA,DF,Nottingham Forest,eng Premier League,29-217,18,1588,21,26,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,fr Ligue 1,20-027,19,1313,11,17,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24-341,15,870,20,13,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,28-026,26,1729,22,13,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Manuel Akanji,ch SUI,DF,Inter,it Serie A,30-298,33,2821,24,37,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nathan Aké,nl NED,DF,Manchester City,eng Premier League,31-084,16,586,6,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
